"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"Burnout","~","education_tien","",-0.0327820455157481,0.237786718766193,-0.137863231747529,0.890348509684798,-0.49883545029944,0.433271359267944,-0.0325979311629027,-0.00898614680121344,-0.0325979311629027
"Burnout","~","tenure_years","",0.00360590365887662,0.0155399273211354,0.232041217720004,0.816506000223888,-0.0268517942129187,0.0340636015306719,0.00358565176159163,0.0128980529619368,0.00358565176159163
"turnover_intent","~","Job_Satisfaction","c_prime",-0.187743487912325,0.0220689990011511,-8.50711388869663,0,-0.230997931129431,-0.144489044695218,-0.187743487912325,-0.415082672713626,-0.415082672713626
"turnover_intent","~","Burnout","b",0.171218931275021,0.021678687734495,7.89803023928327,2.88657986402541e-15,0.128729484083321,0.213708378466722,0.172185982299488,0.380686534225193,0.380686534225193
"turnover_intent","~","age","",0.00228046996646729,0.00242867030754615,0.93897881461375,0.347741621548419,-0.00247963636664497,0.00704057629957955,0.00228046996646729,0.0415994515683286,0.00504189827967001
"turnover_intent","~","gender_num","",0.0234383003008078,0.0408924372091013,0.57316956142666,0.566529891757882,-0.0567094038690963,0.103586004470712,0.0234383003008078,0.0255996681115421,0.051819812452122
"turnover_intent","~","education_dh","",0.0866887830353998,0.0566878522874188,1.52923032955756,0.126207354248836,-0.0244173658088675,0.197794931879667,0.0866887830353998,0.0958161704261838,0.191660505281703
"turnover_intent","~","education_ts","",0.0884651368979642,0.0639360802666655,1.38364967838179,0.166465748950352,-0.0368472777373623,0.213777551533291,0.0884651368979642,0.0838699206085141,0.195587851668826
"turnover_intent","~","education_tien","",0.160275567467715,0.0851865896013895,1.88146477300813,0.0599087228963817,-0.006687080116803,0.327238215052232,0.160275567467715,0.0976833435773136,0.354353760308641
"turnover_intent","~","tenure_years","",0.00690401091138693,0.00556731110566226,1.24009791807129,0.21493917894415,-0.00400771834644097,0.0178157401692148,0.00690401091138693,0.0549069397530867,0.0152640996149001
"js_q1","~~","js_q1","",0.429555208303143,0.0382665794504796,11.2253359059444,0,0.354554090768662,0.504556325837623,0.429555208303143,0.440482624211742,0.440482624211742
"js_q2","~~","js_q2","",0.336113000246497,0.0308959551824556,10.8788674200745,0,0.275558040820921,0.396667959672074,0.336113000246497,0.402383134513746,0.402383134513746
"js_q3","~~","js_q3","",0.281347454165073,0.028304003140644,9.94020007583533,0,0.225872627391102,0.336822280939044,0.281347454165073,0.32600018124659,0.32600018124659
"js_q4","~~","js_q4","",0.302763043226008,0.0297151765678656,10.1888354098969,0,0.244522367358743,0.361003719093273,0.302763043226008,0.343360950227929,0.343360950227929
"js_q5","~~","js_q5","",0.315468727957103,0.0293120095154856,10.7624394632664,0,0.258018244992256,0.37291921092195,0.315468727957103,0.391044017615761,0.391044017615761
